X0,X1,X2,Z1,Z2,Y
1,8.640,14.029,12.160,15.552,37.395 
1,8.245,2.011,13.206,4.625,14.322 
1,4.340,6.099,13.908,6.529,15.726 
1,2.462,13.535,1.446,19.185,17.473 
1,1.502,2.363,4.201,4.535,6.638 
1,9.337,5.400,5.626,15.311,20.617 
1,7.936,3.660,7.986,17.047,17.589 
1,1.151,2.696,17.821,8.105,7.669 
1,2.241,12.216,13.909,6.214,19.537 
1,2.799,10.753,11.006,9.401,16.973
1,8.708,12.228,8.422,23.260,36.052 
1,4.993,9.287,6.483,6.828,14.576 
1,2.396,7.561,13.404,22.648,21.319 
1,2.040,5.571,12.089,16.171,10.902 
1,5.105,6.286,16.445,7.888,20.041 
1,1.344,2.087,15.941,22.767,13.359 
1,2.515,2.351,18.701,2.846,9.596 
1,5.671,8.490,11.267,19.710,24.117 
1,3.251,14.989,5.454,13.263,21.446 
1,8.627,1.126,13.371,10.317,19.034
